"","Sample","Time","Group","Temperature","Phase"
"P01","P01","Day7","Control","Minus_1","Log"
"P02","P02","Day7","Control","Minus_1","Log"
"P03","P03","Day7","Control","Minus_1","Log"
"P04","P04","Day7","WCL","Minus_1","Log"
"P05","P05","Day7","WCL","Minus_1","Log"
"P06","P06","Day7","WCL","Minus_1","Log"
"P07","P07","Day9","Control","Minus_1","Stationary"
"P08","P08","Day9","Control","Minus_1","Stationary"
"P09","P09","Day9","Control","Minus_1","Stationary"
"P10","P10","Day9","WCL","Minus_1","Stationary"
"P11","P11","Day9","WCL","Minus_1","Stationary"
"P12","P12","Day9","WCL","Minus_1","Stationary"
"P13","P13","Day11","Control","Minus_1","Stationary"
"P14","P14","Day11","Control","Minus_1","Stationary"
"P15","P15","Day11","Control","Minus_1","Stationary"
"P16","P16","Day11","WCL","Minus_1","Stationary"
"P17","P17","Day11","WCL","Minus_1","Stationary"
"P18","P18","Day11","WCL","Minus_1","Stationary"
"P19","P19","Day5","Control","Minus_5","Log"
"P20","P20","Day5","Control","Minus_5","Log"
"P21","P21","Day5","Control","Minus_5","Log"
"P22","P22","Day5","WCL","Minus_5","Log"
"P23","P23","Day5","WCL","Minus_5","Log"
"P24","P24","Day5","WCL","Minus_5","Log"
"P25","P25","Day9","Control","Minus_5","Stationary"
"P26","P26","Day9","Control","Minus_5","Stationary"
"P27","P27","Day9","Control","Minus_5","Stationary"
"P28","P28","Day9","WCL","Minus_5","Stationary"
"P29","P29","Day9","WCL","Minus_5","Stationary"
"P30","P30","Day9","WCL","Minus_5","Stationary"
"P31","P31","Day11","Control","Minus_5","Stationary"
"P32","P32","Day11","Control","Minus_5","Stationary"
"P33","P33","Day11","Control","Minus_5","Stationary"
"P34","P34","Day11","WCL","Minus_5","Stationary"
"P35","P35","Day11","WCL","Minus_5","Stationary"
"P36","P36","Day11","WCL","Minus_5","Stationary"
"P37","P37","Day13","Control","Minus_5","Stationary"
"P38","P38","Day13","Control","Minus_5","Stationary"
"P39","P39","Day13","Control","Minus_5","Stationary"
"P40","P40","Day13","WCL","Minus_5","Stationary"
"P41","P41","Day13","WCL","Minus_5","Stationary"
"P42","P42","Day13","WCL","Minus_5","Stationary"
